,Unnamed: 0,RespondentID,Have you seen any of the 6 films in the Star Wars franchise?,Do you consider yourself to be a fan of the Star Wars film franchise?,seen_ep1,seen_ep2,seen_ep3,seen_ep4,seen_ep5,seen_ep6,Please rank the Star Wars films in order of preference with 1 being your favorite film in the franchise and 6 being your least favorite film.,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,"Please state whether you view the following characters favorably, unfavorably, or are unfamiliar with him/her.",Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Which character shot first?,Are you familiar with the Expanded Universe?,Do you consider yourself to be a fan of the Expanded Universe?,Do you consider yourself to be a fan of the Star Trek franchise?,Gender,Age,Household Income,Education,Location (Census Region)
775,775,3289735954,True,False,True,False,False,False,False,False,1.0,2.0,3.0,4.0,5.0,6.0,Somewhat favorably,Very favorably,Somewhat favorably,Unfamiliar (N/A),Somewhat favorably,Unfamiliar (N/A),Somewhat unfavorably,Unfamiliar (N/A),Unfamiliar (N/A),Unfamiliar (N/A),Somewhat favorably,Unfamiliar (N/A),Unfamiliar (N/A),Somewhat favorably,I don't understand this question,No,,No,Male,> 60,,Bachelor degree,Mountain
776,776,3289733444,True,True,True,True,True,True,True,True,1.0,2.0,3.0,4.0,5.0,6.0,Very favorably,Very favorably,Very favorably,Neither favorably nor unfavorably (neutral),Very favorably,Unfamiliar (N/A),Very unfavorably,Unfamiliar (N/A),Unfamiliar (N/A),Very favorably,Very favorably,Unfamiliar (N/A),Unfamiliar (N/A),Very favorably,I don't understand this question,Yes,Yes,Yes,Female,> 60,"$0 - $24,999",Some college or Associate degree,East North Central
777,777,3289730973,True,True,False,False,False,True,True,True,4.0,5.0,6.0,1.0,2.0,3.0,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Neither favorably nor unfavorably (neutral),Somewhat favorably,Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Very favorably,Very favorably,Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Very favorably,I don't understand this question,No,,Yes,Female,> 60,,Graduate degree,South Atlantic
778,778,3289727014,True,True,True,False,False,True,True,True,4.0,5.0,6.0,2.0,3.0,1.0,Somewhat favorably,Very favorably,Very favorably,Neither favorably nor unfavorably (neutral),Very favorably,Very unfavorably,Somewhat favorably,Somewhat favorably,Somewhat unfavorably,Very favorably,Very favorably,Very unfavorably,Unfamiliar (N/A),Very favorably,Han,No,,Yes,Male,> 60,"$100,000 - $149,999",Graduate degree,New England
779,779,3289725827,True,True,True,True,True,True,True,True,6.0,5.0,4.0,1.0,2.0,3.0,Very favorably,Very favorably,Very favorably,Very favorably,Very unfavorably,Very unfavorably,,Very favorably,Somewhat unfavorably,Very favorably,Very favorably,Somewhat unfavorably,Very favorably,Very favorably,I don't understand this question,No,,Yes,Female,> 60,"$50,000 - $99,999",Some college or Associate degree,West South Central
780,780,3289725605,True,True,True,True,False,True,True,True,4.0,5.0,6.0,1.0,2.0,3.0,Very favorably,Very favorably,Very favorably,Somewhat favorably,Very favorably,Neither favorably nor unfavorably (neutral),Very favorably,Somewhat favorably,Neither favorably nor unfavorably (neutral),Very favorably,Very favorably,Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Very favorably,Han,No,,Yes,Male,> 60,"$50,000 - $99,999",Graduate degree,New England
781,781,3289722110,True,False,True,True,True,True,True,True,1.0,3.0,2.0,4.0,6.0,5.0,Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),I don't understand this question,Yes,Yes,No,Male,> 60,"$50,000 - $99,999",Bachelor degree,West South Central
782,782,3289713384,False,NaN,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,
783,783,3289711817,True,True,True,True,True,True,True,True,6.0,5.0,4.0,1.0,2.0,3.0,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Very unfavorably,Very unfavorably,Neither favorably nor unfavorably (neutral),Very unfavorably,Very favorably,Very favorably,Somewhat unfavorably,Very favorably,Very favorably,Han,No,,Yes,Male,30-44,"$50,000 - $99,999",Bachelor degree,Middle Atlantic
784,784,3289710382,False,NaN,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,No,Female,> 60,,Some college or Associate degree,Mountain
